Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
2036,B11CW,9/19/2009,3:30 PM,COUGSC-NewWater1,1393,Fair Lawn-B11CW-Machuca,1117,CougarSC-B11CW-Majtyka
2035,B11CW,9/19/2009,2:00 PM,NWK-Riverbank,1126,Ironbound-B11CW-Fernandes,1504,DenofLions-B11CW-Cunha
2037,B11CW,9/19/2009,11:30 AM,NY-RV-Suffern MS2,1496,Verona-B11CW-Tosh,1298,RamapoValley-B11CW-Ramon
2034,B11CW,9/19/2009,12:00 AM,TBS(B),890,RiverDell-B11CW-Solinas,1188,Vikings-B11CW-Pialtos
2041,B11CW,9/26/2009,3:00 PM,FL-JeffersonMSU,1504,DenofLions-B11CW-Cunha,1393,Fair Lawn-B11CW-Machuca
2039,B11CW,9/26/2009,12:30 PM,NWK-Riverbank,1117,CougarSC-B11CW-Majtyka,1126,Ironbound-B11CW-Fernandes
2040,B11CW,9/26/2009,3:30 PM,NY-RV-JTS Sport,1188,Vikings-B11CW-Pialtos,1298,RamapoValley-B11CW-Ramon
2038,B11CW,9/26/2009,2:30 PM,VERONA-Centennial,890,RiverDell-B11CW-Solinas,1496,Verona-B11CW-Tosh
2042,B11CW,10/3/2009,1:00 PM,COUGSC-NewWater1,890,RiverDell-B11CW-Solinas,1117,CougarSC-B11CW-Majtyka
2044,B11CW,10/3/2009,10:45 AM,NWK-Riverbank,1496,Verona-B11CW-Tosh,1126,Ironbound-B11CW-Fernandes
2045,B11CW,10/3/2009,10:00 AM,NY-RV-Suffern MS2,1504,DenofLions-B11CW-Cunha,1298,RamapoValley-B11CW-Ramon
2043,B11CW,10/3/2009,11:45 AM,VIK-Ruckman,1393,Fair Lawn-B11CW-Machuca,1188,Vikings-B11CW-Pialtos
2047,B11CW,10/17/2009,3:00 PM,COUGSC-NewWater1,1298,RamapoValley-B11CW-Ramon,1117,CougarSC-B11CW-Majtyka
2046,B11CW,10/17/2009,12:45 PM,NWK-Riverbank,1188,Vikings-B11CW-Pialtos,1126,Ironbound-B11CW-Fernandes
2049,B11CW,10/17/2009,5:45 PM,RDBH-HS-Stadium,1504,DenofLions-B11CW-Cunha,890,RiverDell-B11CW-Solinas
2048,B11CW,10/17/2009,2:30 PM,VERONA-Centennial,1393,Fair Lawn-B11CW-Machuca,1496,Verona-B11CW-Tosh
2052,B11CW,10/24/2009,4:45 PM,FL-Vanderplatt,1298,RamapoValley-B11CW-Ramon,1393,Fair Lawn-B11CW-Machuca
2053,B11CW,10/24/2009,12:30 PM,NWK-Riverbank,1496,Verona-B11CW-Tosh,1504,DenofLions-B11CW-Cunha
2051,B11CW,10/24/2009,3:30 PM,RDBH-HS-Stadium,1126,Ironbound-B11CW-Fernandes,890,RiverDell-B11CW-Solinas
2050,B11CW,10/24/2009,2:15 PM,VIK-NVRHS Turf,1117,CougarSC-B11CW-Majtyka,1188,Vikings-B11CW-Pialtos
2054,B11CW,10/31/2009,4:30 PM,FL-Vanderplatt,890,RiverDell-B11CW-Solinas,1393,Fair Lawn-B11CW-Machuca
2056,B11CW,10/31/2009,1:00 PM,NY-RV-JTS Sport,1126,Ironbound-B11CW-Fernandes,1298,RamapoValley-B11CW-Ramon
2057,B11CW,10/31/2009,12:00 AM,TBS(V),1188,Vikings-B11CW-Pialtos,1504,DenofLions-B11CW-Cunha
2055,B11CW,10/31/2009,3:00 PM,VERONA-Centennial,1117,CougarSC-B11CW-Majtyka,1496,Verona-B11CW-Tosh
2060,B11CW,11/7/2009,2:45 PM,FL-JeffersonMSU,1126,Ironbound-B11CW-Fernandes,1393,Fair Lawn-B11CW-Machuca
2059,B11CW,11/7/2009,1:00 PM,NWK-Riverbank,1117,CougarSC-B11CW-Majtyka,1504,DenofLions-B11CW-Cunha
2058,B11CW,11/7/2009,3:45 PM,NY-RV-JTS Sport,890,RiverDell-B11CW-Solinas,1298,RamapoValley-B11CW-Ramon
2061,B11CW,11/7/2009,10:00 AM,VIK-MemHaworth,1496,Verona-B11CW-Tosh,1188,Vikings-B11CW-Pialtos
2062,B11CW,11/14/2009,11:00 AM,FL-MemorialMS LG,1117,CougarSC-B11CW-Majtyka,1393,Fair Lawn-B11CW-Machuca
2065,B11CW,11/14/2009,1:45 PM,NWK-Riverbank,1504,DenofLions-B11CW-Cunha,1126,Ironbound-B11CW-Fernandes
2063,B11CW,11/14/2009,4:30 PM,RDBH-HS-Stadium,1188,Vikings-B11CW-Pialtos,890,RiverDell-B11CW-Solinas
2064,B11CW,11/14/2009,2:30 PM,VERONA-Centennial,1298,RamapoValley-B11CW-Ramon,1496,Verona-B11CW-Tosh
2066,B11CW,11/21/2009,11:00 AM,COUGSC-NewWater1,1126,Ironbound-B11CW-Fernandes,1117,CougarSC-B11CW-Majtyka
2068,B11CW,11/21/2009,5:45 PM,NWK-Riverbank,1393,Fair Lawn-B11CW-Machuca,1504,DenofLions-B11CW-Cunha
2069,B11CW,11/21/2009,1:30 PM,RDBH-HS-Stadium,1496,Verona-B11CW-Tosh,890,RiverDell-B11CW-Solinas
2067,B11CW,11/21/2009,2:30 PM,VIK-NVRHS-DemarUP,1298,RamapoValley-B11CW-Ramon,1188,Vikings-B11CW-Pialtos
2070,B11D,9/12/2009,5:15 PM,MAR-MaplePkEast,899,Hotspur-B11D-Mazza,1112,Maroons-B11D-Carney
2072,B11D,9/12/2009,12:00 PM,MONT-BrookdaleA,1311,Dumont-B11D-Downing,1405,Montclair-B11D-Carlene
2073,B11D,9/12/2009,11:00 AM,SPAR-WestbrkNorth,1409,Bergenfield-B11D-Yarangano,1322,Spartan-B11D-Cortes
2074,B11D,9/12/2009,12:00 PM,STING-Votee,1455,Aviators-B11D-Behrens,1591,Stingrays-B11D-Kelly
2071,B11D,9/12/2009,12:00 AM,TBS(V),1347,Secaucus-B11D-Africa,1118,CougarSC-B11D-WrenHardin
2076,B11D,9/19/2009,4:45 PM,AVIA-Hitchcock,1322,Spartan-B11D-Cortes,1455,Aviators-B11D-Behrens
2077,B11D,9/19/2009,12:00 PM,BGFD-Hickory,1347,Secaucus-B11D-Africa,1409,Bergenfield-B11D-Yarangano
2075,B11D,9/19/2009,12:30 PM,DUM-HS,1112,Maroons-B11D-Carney,1311,Dumont-B11D-Downing
2078,B11D,9/19/2009,12:00 AM,TBS(V),1355,Arsenal-B11D-Piatigorski,899,Hotspur-B11D-Mazza
2079,B11D,9/19/2009,12:00 AM,TBS(V),1405,Montclair-B11D-Carlene,1118,CougarSC-B11D-WrenHardin
2080,B11D,9/26/2009,2:00 PM,ARS-PVHS1,1112,Maroons-B11D-Carney,1355,Arsenal-B11D-Piatigorski
2082,B11D,9/26/2009,12:15 PM,DUM-Selzer,1347,Secaucus-B11D-Africa,1311,Dumont-B11D-Downing
2083,B11D,9/26/2009,1:45 PM,HOT-Tisdale,1405,Montclair-B11D-Carlene,899,Hotspur-B11D-Mazza
2081,B11D,9/26/2009,11:00 AM,SPAR-WestbrkNorth,1118,CougarSC-B11D-WrenHardin,1322,Spartan-B11D-Cortes
2084,B11D,9/26/2009,12:30 PM,STING-Votee,1409,Bergenfield-B11D-Yarangano,1591,Stingrays-B11D-Kelly
2086,B11D,10/3/2009,12:30 PM,DUM-Selzer,899,Hotspur-B11D-Mazza,1311,Dumont-B11D-Downing
2085,B11D,10/3/2009,3:30 PM,MAR-MaplePkEast,1118,CougarSC-B11D-WrenHardin,1112,Maroons-B11D-Carney
2088,B11D,10/3/2009,5:15 PM,MONT-BrookdaleA,1409,Bergenfield-B11D-Yarangano,1405,Montclair-B11D-Carlene
2087,B11D,10/3/2009,1:00 PM,STING-Votee,1355,Arsenal-B11D-Piatigorski,1591,Stingrays-B11D-Kelly
2089,B11D,10/3/2009,12:00 AM,TBS(H),1455,Aviators-B11D-Behrens,1347,Secaucus-B11D-Africa
2093,B11D,10/17/2009,2:00 PM,ARS-MemorialParkRdg,1455,Aviators-B11D-Behrens,1355,Arsenal-B11D-Piatigorski
2094,B11D,10/17/2009,11:00 AM,COUGSC-NewWater1,1591,Stingrays-B11D-Kelly,1118,CougarSC-B11D-WrenHardin
2091,B11D,10/17/2009,2:00 PM,MONT-BrookdaleA,1112,Maroons-B11D-Carney,1405,Montclair-B11D-Carlene
2092,B11D,10/17/2009,11:00 AM,SPAR-WestbrkNorth,1311,Dumont-B11D-Downing,1322,Spartan-B11D-Cortes
2090,B11D,10/17/2009,12:00 AM,TBS(H),899,Hotspur-B11D-Mazza,1347,Secaucus-B11D-Africa
2099,B11D,10/24/2009,12:00 PM,BGFD-Hickory,1455,Aviators-B11D-Behrens,1409,Bergenfield-B11D-Yarangano
2095,B11D,10/24/2009,2:45 PM,HOT-Adorno,1322,Spartan-B11D-Cortes,899,Hotspur-B11D-Mazza
2097,B11D,10/24/2009,6:00 PM,MAR-VetsFld1,1347,Secaucus-B11D-Africa,1112,Maroons-B11D-Carney
2098,B11D,10/24/2009,3:30 PM,MONT-Northeast,1355,Arsenal-B11D-Piatigorski,1405,Montclair-B11D-Carlene
2096,B11D,10/24/2009,2:30 PM,STING-Votee,1311,Dumont-B11D-Downing,1591,Stingrays-B11D-Kelly
2102,B11D,10/31/2009,2:00 PM,ARS-MemorialParkRdg,1311,Dumont-B11D-Downing,1355,Arsenal-B11D-Piatigorski
2101,B11D,10/31/2009,10:00 AM,BGFD-Hickory,1112,Maroons-B11D-Carney,1409,Bergenfield-B11D-Yarangano
2100,B11D,10/31/2009,12:30 PM,COUGSC-NewWater1,899,Hotspur-B11D-Mazza,1118,CougarSC-B11D-WrenHardin
2104,B11D,10/31/2009,11:00 AM,SPAR-WestbrkNorth,1591,Stingrays-B11D-Kelly,1322,Spartan-B11D-Cortes
2103,B11D,10/31/2009,12:00 AM,TBS(V),1405,Montclair-B11D-Carlene,1455,Aviators-B11D-Behrens
2105,B11D,11/7/2009,3:00 PM,AVIA-Hitchcock,1112,Maroons-B11D-Carney,1455,Aviators-B11D-Behrens
2106,B11D,11/7/2009,1:00 PM,COUGSC-NewWater1,1311,Dumont-B11D-Downing,1118,CougarSC-B11D-WrenHardin
2108,B11D,11/7/2009,2:45 PM,HOT-Adorno,1409,Bergenfield-B11D-Yarangano,899,Hotspur-B11D-Mazza
2107,B11D,11/7/2009,11:00 AM,SPAR-WestbrkNorth,1355,Arsenal-B11D-Piatigorski,1322,Spartan-B11D-Cortes
2109,B11D,11/7/2009,12:00 AM,TBS(V),1591,Stingrays-B11D-Kelly,1347,Secaucus-B11D-Africa
2113,B11D,11/14/2009,2:00 PM,ARS-MemorialParkRdg,1409,Bergenfield-B11D-Yarangano,1355,Arsenal-B11D-Piatigorski
2110,B11D,11/14/2009,1:15 PM,AVIA-Hitchcock,1118,CougarSC-B11D-WrenHardin,1455,Aviators-B11D-Behrens
2114,B11D,11/14/2009,2:45 PM,HOT-Adorno,1591,Stingrays-B11D-Kelly,899,Hotspur-B11D-Mazza
2111,B11D,11/14/2009,2:45 PM,MAR-BenFranklinMS1,1322,Spartan-B11D-Cortes,1112,Maroons-B11D-Carney
2112,B11D,11/14/2009,4:00 PM,MONT-BrookdaleA,1347,Secaucus-B11D-Africa,1405,Montclair-B11D-Carlene
2118,B11D,11/21/2009,3:00 PM,COUGSC-Chyzowych,1409,Bergenfield-B11D-Yarangano,1118,CougarSC-B11D-WrenHardin
2119,B11D,11/21/2009,10:00 AM,DUM-Selzer,1455,Aviators-B11D-Behrens,1311,Dumont-B11D-Downing
2116,B11D,11/21/2009,10:45 AM,SPAR-WestbrkNorth,1405,Montclair-B11D-Carlene,1322,Spartan-B11D-Cortes
2115,B11D,11/21/2009,4:15 PM,STING-Votee,1112,Maroons-B11D-Carney,1591,Stingrays-B11D-Kelly
2117,B11D,11/21/2009,12:00 AM,TBS(F),1355,Arsenal-B11D-Piatigorski,1347,Secaucus-B11D-Africa
2120,B11D,11/28/2009,12:00 AM,TBS(L),899,Hotspur-B11D-Mazza,1455,Aviators-B11D-Behrens
2121,B11D,11/28/2009,12:00 AM,TBS(L),1118,CougarSC-B11D-WrenHardin,1355,Arsenal-B11D-Piatigorski
2122,B11D,11/28/2009,12:00 AM,TBS(L),1311,Dumont-B11D-Downing,1409,Bergenfield-B11D-Yarangano
2123,B11D,11/28/2009,12:00 AM,TBS(L),1347,Secaucus-B11D-Africa,1322,Spartan-B11D-Cortes
2124,B11D,11/28/2009,12:00 AM,TBS(L),1405,Montclair-B11D-Carlene,1591,Stingrays-B11D-Kelly
2127,B11P,9/12/2009,2:30 PM,ARS-PVHS1,1448,RdgfldRoyalStrikers-B11P-Hernandez,1227,Arsenal-B11P-Weis
2126,B11P,9/12/2009,3:45 PM,NoVAL-OTHS-Grass,1029,Torpedoes-B11P-Chagares,1539,NoValley-B11P-Jamgotchian
2125,B11P,9/12/2009,4:30 PM,NY-NR-NRSA-A,971,FtLee-B11P-Keller,1212,NoRockland-B11P-Piscopiello
2130,B11P,9/19/2009,5:15 PM,NoVAL-OTHS-Grass,1448,RdgfldRoyalStrikers-B11P-Hernandez,1539,NoValley-B11P-Jamgotchian
2129,B11P,9/19/2009,12:00 AM,TBS(B),1227,Arsenal-B11P-Weis,1212,NoRockland-B11P-Piscopiello
2128,B11P,9/19/2009,10:45 AM,TORP-PulisA,971,FtLee-B11P-Keller,1029,Torpedoes-B11P-Chagares
2132,B11P,9/26/2009,2:00 PM,ARS-MemorialParkRdg,1029,Torpedoes-B11P-Chagares,1227,Arsenal-B11P-Weis
2131,B11P,9/26/2009,4:00 PM,NoVAL-OTHS-Grass,971,FtLee-B11P-Keller,1539,NoValley-B11P-Jamgotchian
2133,B11P,9/26/2009,6:00 PM,RDGFLDSTRIK-Willis,1212,NoRockland-B11P-Piscopiello,1448,RdgfldRoyalStrikers-B11P-Hernandez
2136,B11P,10/3/2009,2:00 PM,ARS-MemorialParkRdg,1539,NoValley-B11P-Jamgotchian,1227,Arsenal-B11P-Weis
2135,B11P,10/3/2009,9:00 AM,FTLEE-VanFleetLg,1448,RdgfldRoyalStrikers-B11P-Hernandez,971,FtLee-B11P-Keller
2134,B11P,10/3/2009,3:00 PM,TORP-CommunityPk,1212,NoRockland-B11P-Piscopiello,1029,Torpedoes-B11P-Chagares
2137,B11P,10/17/2009,10:00 AM,FTLEE-VanFleetLg,1227,Arsenal-B11P-Weis,971,FtLee-B11P-Keller
2139,B11P,10/17/2009,2:00 PM,NoVAL-OTHS-Grass,1212,NoRockland-B11P-Piscopiello,1539,NoValley-B11P-Jamgotchian
2138,B11P,10/17/2009,10:45 AM,TORP-PulisA,1448,RdgfldRoyalStrikers-B11P-Hernandez,1029,Torpedoes-B11P-Chagares
2140,B11P,10/24/2009,10:30 AM,FTLEE-VanFleetLg,1212,NoRockland-B11P-Piscopiello,971,FtLee-B11P-Keller
