Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH,Type
4106,G09DW,09/11/2016,03:30 PM,UNIONCITY-Marti,14347,Hotspur-Olshalsky-GU09DW,14153,UnionCity-Cruz-GU09DW,
4107,G09DW,09/18/2016,01:00 PM,TEN-Municipal,14347,Hotspur-Olshalsky-GU09DW,14095,Tenafly-Gonzalez-GU09DW,
4108,G09DW,09/18/2016,12:00 AM,TBS (H),14236,Nutley-Hess-GU09D,13847,GlenRock-Hendl-GU09D,
4109,G09DW,09/18/2016,12:00 PM,NoVAL-Chestnut,14533,WOrange-Pannucci-GU09DW,13762,NoValley-Massaro-GU09D,
4110,G09DW,09/18/2016,01:00 PM,RUTH-Memorial3,14153,UnionCity-Cruz-GU09DW,14058,Rutherford-Hansen-GU09D,
4111,G09DW,09/18/2016,11:00 AM,HOB-1600,14588,Montclair-Porter-GU09DW,14705,Hoboken-Sotto -GU09DW,
4112,G09DW,09/25/2016,12:30 PM,HOB-1600,13847,GlenRock-Hendl-GU09D,14705,Hoboken-Sotto -GU09DW,
4113,G09DW,09/25/2016,05:00 PM,TEN-Municipal,14058,Rutherford-Hansen-GU09D,14095,Tenafly-Gonzalez-GU09DW,
4114,G09DW,09/25/2016,11:00 AM,NUT-MsgnorOwenPk2,14347,Hotspur-Olshalsky-GU09DW,14236,Nutley-Hess-GU09D,
4115,G09DW,09/25/2016,12:15 PM,MONT-BrookdaleStadS,14533,WOrange-Pannucci-GU09DW,14588,Montclair-Porter-GU09DW,
4116,G09DW,09/25/2016,02:00 PM,UNIONCITY-Marti,13762,NoValley-Massaro-GU09D,14153,UnionCity-Cruz-GU09DW,
4117,G09DW,10/02/2016,12:00 PM,NoVAL-Chestnut,14095,Tenafly-Gonzalez-GU09DW,13762,NoValley-Massaro-GU09D,
