123 Log Analyzer Report
Domain name:NCSA 2009
Using Filter: 
generated on Mon Jul 13 10:14:11 2009

Time Period:01/Jan/2009:00:01:02 - 13/Jul/2009:14:12:57 total 194 day(s)

General Statistics
Total Hits,5112439
Total Cached Hits,5112439
Average Hits Per Day,26352
Average Hits Per Hour,1100
Average Hits Per Visitor,13.8
Average Data Transferred per Hit,0.0 KB
Total Visitors,371052
Average Visitors Per Day ,1912
Average Time Spent,323 Seconds
Average PageViews per visitor,5.36
Average Downloads per visitor,0.04
Average Data Transferred per Visitor,0.0 KB
Total Uniq IPs,41445
Visitors Who Visit Once,22139
Visitors Who Visit more than Once,19306
Total PageViews,1990090
Average PageViews Per Day,10258
Total File Downloads,14215
Average File Downloads Per Day,73
Total Images,2139782
Average Images Per Day,11029
Total failed requests,265742
Total Incomplete File downloads requests,966
Number of visitors bookmarked your web site,183973
Total Data Transferred,0.00 KB
Average Data Transferred per Day,0.00 KB


Access Report
Daily Report
Date,Hits,Visitors,Uniq IPs,Data Transferred(KB)
Wed May 27 2009,35017,2569,1639,0
Thu May 28 2009,42001,2765,1767,0
Fri May 29 2009,47128,2847,1809,0
Sat May 30 2009,34592,2705,1822,0
Sun May 31 2009,70443,4872,3115,0
Mon Jun 01 2009,76897,4890,2738,0
Tue Jun 02 2009,44478,3314,2017,0
Wed Jun 03 2009,46456,3288,1949,0
Thu Jun 04 2009,36732,2748,1733,0
Fri Jun 05 2009,43308,3055,1868,0
Sat Jun 06 2009,33767,2576,1699,0
Sun Jun 07 2009,69481,4973,3226,0
Mon Jun 08 2009,72820,4649,2737,0
Tue Jun 09 2009,49432,3294,2049,0
Wed Jun 10 2009,35207,2561,1626,0
Thu Jun 11 2009,38395,2722,1692,0
Fri Jun 12 2009,33111,2447,1549,0
Sat Jun 13 2009,31804,2402,1551,0
Sun Jun 14 2009,63080,4487,2756,0
Mon Jun 15 2009,64905,4234,2368,0
Tue Jun 16 2009,35456,2630,1648,0
Wed Jun 17 2009,26621,2160,1323,0
Thu Jun 18 2009,25539,2063,1296,0
Fri Jun 19 2009,18762,1510,1009,0
Sat Jun 20 2009,12873,1185,796,0
Sun Jun 21 2009,14329,1276,822,0
Mon Jun 22 2009,21218,1754,1156,0
Tue Jun 23 2009,19133,1502,973,0
Wed Jun 24 2009,17234,1367,900,0
Thu Jun 25 2009,14721,1214,808,0
Fri Jun 26 2009,18564,1269,808,0
Sat Jun 27 2009,7580,734,472,0
Sun Jun 28 2009,5721,651,450,0
Mon Jun 29 2009,11946,1073,702,0
Tue Jun 30 2009,12194,952,630,0
Wed Jul 01 2009,9347,841,579,0
Thu Jul 02 2009,8575,875,590,0
Fri Jul 03 2009,6545,667,469,0
Sat Jul 04 2009,3234,407,286,0
Sun Jul 05 2009,3832,492,328,0
Mon Jul 06 2009,9757,793,510,0
Tue Jul 07 2009,9380,846,552,0
Wed Jul 08 2009,9187,839,540,0
Thu Jul 09 2009,9025,768,519,0
Fri Jul 10 2009,9127,782,500,0
Sat Jul 11 2009,4901,520,336,0
Sun Jul 12 2009,4785,504,316,0
Mon Jul 13 2009,4740,392,311,0
Weekly Report
Day of week,Hits, Visitors,Uniq IPs,Data Transferred(KB)
 Sunday,887743,64893,15790,0
Monday,1024929,68531,14571,0
Tuesday,745576,53278,12988,0
Wednesday,657235,49128,12350,0
Thursday,651447,48045,12242,0
Friday,633226,46219,12366,0
Saturday,512283,40958,11914,0
Hourly Report
Hour of day,Hits,Visitors,Uniq IPs,Data Transferred(KB)00:00-00:59,324278,22069,7779,0
01:00-01:59,323252,21831,7704,0
02:00-02:59,276468,19441,6901,0
03:00-03:59,165854,12570,4999,0
04:00-04:59,82517,6752,3094,0
05:00-05:59,34590,3745,1853,0
06:00-06:59,16657,2325,1211,0
07:00-07:59,11738,2092,1082,0
08:00-08:59,11789,2165,1028,0
09:00-09:59,23126,3083,1333,0
10:00-10:59,73810,6694,2536,0
11:00-11:59,184042,14279,5183,0
12:00-12:59,301670,20853,7250,0
13:00-13:59,361540,24737,8751,0
14:00-14:59,352976,24387,8875,0
15:00-15:59,343187,23513,8791,0
16:00-16:59,316679,21952,8335,0
17:00-17:59,316429,21325,8159,0
18:00-18:59,296169,20769,7951,0
19:00-19:59,295300,21103,8018,0
20:00-20:59,294169,21402,8157,0
21:00-21:59,268326,19786,7677,0
22:00-22:59,225870,17075,7078,0
23:00-23:59,212003,17104,6914,0
Daily Pageviews Report
Date,Pageviews,Total Visitor Stay Length,Average Visitor Stay Length
Thu Jan 01 2009,1452,1 days 16 hours 29 mins 37 secs,5 mins 16 secs
Fri Jan 02 2009,2659,1 days 16 hours 34 mins 35 secs,3 mins 59 secs
Sat Jan 03 2009,1858,1 days 19 hours 50 mins 10 secs,4 mins 58 secs
Sun Jan 04 2009,2059,1 days 16 hours 38 mins 37 secs,4 mins 1 secs
Mon Jan 05 2009,4577,2 days 16 hours 2 mins 12 secs,4 mins 31 secs
Tue Jan 06 2009,3003,2 days 5 hours 20 mins 5 secs,4 mins 30 secs
Wed Jan 07 2009,4077,2 days 18 hours 4 mins 18 secs,5 mins 44 secs
Thu Jan 08 2009,3571,2 days 14 hours 55 mins 43 secs,4 mins 43 secs
Fri Jan 09 2009,3801,2 days 2 hours 45 mins 16 secs,4 mins 33 secs
Sat Jan 10 2009,1798,1 days 16 hours 13 mins 11 secs,4 mins 5 secs
Sun Jan 11 2009,1716,1 days 10 hours 0 mins 56 secs,3 mins 38 secs
Mon Jan 12 2009,3175,1 days 18 hours 18 mins 35 secs,3 mins 31 secs
Tue Jan 13 2009,2221,1 days 12 hours 19 mins 19 secs,4 mins 7 secs
Wed Jan 14 2009,2338,1 days 17 hours 51 mins 58 secs,3 mins 51 secs
Thu Jan 15 2009,3004,2 days 4 hours 57 mins 29 secs,5 mins 21 secs
Fri Jan 16 2009,2381,2 days 0 hours 10 mins 40 secs,5 mins 18 secs
Sat Jan 17 2009,2019,1 days 22 hours 0 mins 55 secs,5 mins 31 secs
Sun Jan 18 2009,1595,1 days 7 hours 47 mins 42 secs,3 mins 40 secs
Mon Jan 19 2009,4078,2 days 15 hours 33 mins 10 secs,5 mins 47 secs
Tue Jan 20 2009,5624,3 days 18 hours 39 mins 55 secs,5 mins 59 secs
Wed Jan 21 2009,5429,3 days 8 hours 50 mins 54 secs,6 mins 26 secs
Thu Jan 22 2009,7057,4 days 6 hours 29 mins 7 secs,6 mins 30 secs
Fri Jan 23 2009,7767,4 days 7 hours 15 mins 23 secs,5 mins 51 secs
Sat Jan 24 2009,6029,3 days 21 hours 38 mins 27 secs,6 mins 35 secs
Sun Jan 25 2009,3003,2 days 11 hours 19 mins 25 secs,4 mins 58 secs
Mon Jan 26 2009,6528,3 days 18 hours 47 mins 30 secs,4 mins 58 secs
Tue Jan 27 2009,4933,3 days 1 hours 46 mins 32 secs,4 mins 56 secs
Wed Jan 28 2009,3814,3 days 6 hours 19 mins 49 secs,5 mins 30 secs
Thu Jan 29 2009,3626,3 days 3 hours 27 mins 32 secs,5 mins 21 secs
Fri Jan 30 2009,2681,2 days 2 hours 26 mins 26 secs,3 mins 44 secs
Sat Jan 31 2009,2068,2 days 3 hours 28 mins 46 secs,5 mins 18 secs
Sun Feb 01 2009,3318,2 days 21 hours 36 mins 40 secs,4 mins 42 secs
Mon Feb 02 2009,7834,6 days 7 hours 6 mins 37 secs,5 mins 33 secs
Tue Feb 03 2009,12525,7 days 10 hours 36 mins 5 secs,6 mins 35 secs
Wed Feb 04 2009,7757,4 days 23 hours 28 mins 43 secs,5 mins 45 secs
Thu Feb 05 2009,5151,3 days 4 hours 39 mins 26 secs,4 mins 28 secs
Fri Feb 06 2009,5026,3 days 2 hours 14 mins 37 secs,4 mins 42 secs
Sat Feb 07 2009,3189,2 days 2 hours 20 mins 7 secs,4 mins 15 secs
Sun Feb 08 2009,3148,2 days 8 hours 2 mins 57 secs,4 mins 37 secs
Mon Feb 09 2009,7051,4 days 6 hours 49 mins 51 secs,5 mins 16 secs
Tue Feb 10 2009,6162,4 days 5 hours 11 mins 11 secs,5 mins 14 secs
Wed Feb 11 2009,5667,4 days 0 hours 55 mins 41 secs,5 mins 26 secs
Thu Feb 12 2009,5217,3 days 14 hours 37 mins 59 secs,5 mins 28 secs
Fri Feb 13 2009,4272,3 days 6 hours 45 mins 5 secs,5 mins 29 secs
Sat Feb 14 2009,3270,2 days 21 hours 21 mins 0 secs,5 mins 25 secs
Sun Feb 15 2009,2664,2 days 1 hours 27 mins 11 secs,4 mins 38 secs
Mon Feb 16 2009,3421,2 days 10 hours 39 mins 45 secs,4 mins 27 secs
Tue Feb 17 2009,4538,3 days 7 hours 49 mins 45 secs,4 mins 57 secs
Wed Feb 18 2009,3435,2 days 22 hours 5 mins 31 secs,4 mins 53 secs
Thu Feb 19 2009,3902,3 days 0 hours 16 mins 16 secs,4 mins 53 secs
Fri Feb 20 2009,4230,2 days 16 hours 48 mins 25 secs,4 mins 36 secs
Sat Feb 21 2009,2995,2 days 9 hours 34 mins 9 secs,4 mins 58 secs
Sun Feb 22 2009,4030,2 days 18 hours 11 mins 52 secs,4 mins 14 secs
Mon Feb 23 2009,5439,2 days 22 hours 57 mins 47 secs,3 mins 57 secs
Tue Feb 24 2009,5131,2 days 23 hours 17 mins 48 secs,4 mins 14 secs
Wed Feb 25 2009,5920,3 days 5 hours 35 mins 5 secs,4 mins 0 secs
Thu Feb 26 2009,5122,2 days 18 hours 25 mins 7 secs,3 mins 44 secs
Fri Feb 27 2009,4783,2 days 16 hours 28 mins 39 secs,3 mins 53 secs
Sat Feb 28 2009,4774,3 days 0 hours 27 mins 28 secs,4 mins 29 secs
Sun Mar 01 2009,5127,3 days 12 hours 21 mins 42 secs,4 mins 56 secs
Mon Mar 02 2009,7689,5 days 15 hours 44 mins 20 secs,5 mins 28 secs
Tue Mar 03 2009,7028,4 days 7 hours 7 mins 19 secs,4 mins 23 secs
Wed Mar 04 2009,7849,3 days 15 hours 41 mins 27 secs,3 mins 39 secs
Thu Mar 05 2009,6738,3 days 22 hours 30 mins 10 secs,4 mins 19 secs
Fri Mar 06 2009,8133,5 days 7 hours 31 mins 10 secs,5 mins 35 secs
