GameID,Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
8543,4118,G13A,05/29/2009,06:00 PM,NY-CLARK-KennedyPk1,46,Torpedoes-G13A-Hayden,729,Clarkstown-G13A-Rolston
10770,2355,B13A,05/29/2009,06:00 PM,NY-CLARK-KennedyPk2,413,Americans-B13A-Schick,745,Clarkstown-B13A-Charles
8972,4547,G19A,05/30/2009,05:30 PM,NY-CLARK-KennedyPk1,346,RYSA-G19A-Magi,732,Clarkstown-G19A-Hanchar
8376,3951,G12B,05/30/2009,02:00 PM,NY-CLARK-KennedyPk2,173,GlenRidge-G12B-Frohling,728,Clarkstown-G12B-Eichele
9146,4721,G19D,05/31/2009,10:00 AM,NY-CLARK-KennedyPk1,503,Monroe-Wood-G19D-VanGelder,731,Clarkstown-G19D-Mooney
10793,2378,B13A,05/31/2009,12:00 PM,NY-CLARK-KennedyPk1,679,Maroons-B13A-Boyce,745,Clarkstown-B13A-Charles
8976,4551,G19A,05/31/2009,02:00 PM,NY-CLARK-KennedyPk1,191,Dragons-G19A-Boullianne,732,Clarkstown-G19A-Hanchar
7462,2199,B12CB,05/31/2009,10:00 AM,NY-CLARK-KennedyPk2,240,Hoboken-B12CB-Borsellino,819,Clarkstown-B12CB-Green
8265,3840,G11C,05/31/2009,12:00 PM,NY-CLARK-KennedyPk2,112,WayneBG-G11C-Ferner,726,Clarkstown-G11C-Looney
10371,1952,B11BW,05/31/2009,02:00 PM,NY-CLARK-KennedyPk2,410,Americans-B11BW-Popovic,715,Clarkstown-B11BW-Torres
8393,3968,G12B,05/31/2009,04:00 PM,NY-CLARK-KennedyPk2,444,NoValley-G12B-Gavriilidis,728,Clarkstown-G12B-Eichele
11372,4918,G11A,05/31/2009,06:00 PM,NY-CLARK-KennedyPk2,497,Monroe-Wood-G11A-OMalley,725,Clarkstown-G11A-Charles
7959,3534,G10B,05/31/2009,11:30 AM,NY-CLARK-KennedyPk3,188,Dragons-G10B-Scheideler,722,Clarkstown-G10B-Bogart
9618,3220,G09A,05/31/2009,02:30 PM,NY-CLARK-KennedyPk3,543,Montclair-G09A-VanSiclen,720,Clarkstown-G09A-Istorico
10000,1578,B10A,05/31/2009,04:00 PM,NY-CLARK-KennedyPk3,27,Torpedoes-B10A-Chagares,712,Clarkstown-B10A-OBrien
11375,4921,G11A,06/02/2009,06:30 PM,NY-CLARK-KennedyPk2,290,Mahwah-G11A-Gilmour,725,Clarkstown-G11A-Charles
8092,3667,G10E,06/05/2009,06:00 PM,NY-CLARK-KennedyPk3,690,Maroons-G10E-Abdoo,723,Clarkstown-G10E-Johnston
10509,2092,B12A,06/06/2009,10:00 AM,NY-CLARK-KennedyPk2,662,Quickstrike-B12A-Tobar,716,Clarkstown-B12A-Yassky
8390,3965,G12B,06/06/2009,02:00 PM,NY-CLARK-KennedyPk2,766,Vikings-G12B-Gaglio,728,Clarkstown-G12B-Eichele
9141,4716,G19D,06/06/2009,04:00 PM,NY-CLARK-KennedyPk2,494,Monroe-Wood-G19D-Niglia,731,Clarkstown-G19D-Mooney
8984,4559,G19A,06/07/2009,10:00 AM,NY-CLARK-KennedyPk1,95,Americans-G19A-Faust,732,Clarkstown-G19A-Hanchar
9180,4755,G19P,06/07/2009,02:00 PM,NY-CLARK-KennedyPk1,456,Rutherford-G19P-Soto,733,Clarkstown-G19P-Miller
10550,2133,B12A,06/07/2009,10:00 AM,NY-CLARK-KennedyPk2,597,Arsenal-B12A-Insley,716,Clarkstown-B12A-Yassky
8361,3936,G12A,06/07/2009,02:00 PM,NY-CLARK-KennedyPk2,190,Dragons-G12A-Bade,727,Clarkstown-G12A-Dempsey
10744,2329,B12P,06/07/2009,04:00 PM,NY-CLARK-KennedyPk2,432,NoValley-B12P-Walsh,717,Clarkstown-B12P-OBrien
10083,1662,B10BW,06/07/2009,10:00 AM,NY-CLARK-OutdoorEdu,15,Ironbound-B10BW-Fernandes,714,Clarkstown-B10BW-Hodge
8106,3681,G10E,06/07/2009,11:30 AM,NY-CLARK-OutdoorEdu,479,GlenRock-G10E-Levi,723,Clarkstown-G10E-Johnston
7851,3426,G09E,06/07/2009,01:00 PM,NY-CLARK-OutdoorEdu,229,Hackensack-G09E-Wright,721,Clarkstown-G09E-OBrien
9626,3228,G09A,06/07/2009,02:30 PM,NY-CLARK-OutdoorEdu,607,Arsenal-G09A-Petrillo,720,Clarkstown-G09A-Istorico
8353,3928,G12A,06/09/2009,06:15 PM,NY-CLARK-KennedyPk2,196,RiverDell-G12A-Williams,727,Clarkstown-G12A-Dempsey
9158,4733,G19P,06/11/2009,06:30 PM,NY-CLARK-KennedyPk1,344,RYSA-G19P-Calderon,733,Clarkstown-G19P-Miller
10518,2101,B12A,06/13/2009,10:00 AM,NY-CLARK-KennedyPk2,35,Torpedoes-B12A-Schwab,716,Clarkstown-B12A-Yassky
8747,4322,G13DW,06/13/2009,12:00 PM,NY-CLARK-KennedyPk2,578,NoCaldwell-G13DW-Kluger,730,Clarkstown-G13DW-Fitzgerald
9184,4759,G19P,06/14/2009,12:00 PM,NY-CLARK-KennedyPk1,447,NoValley-G19P-Katzman,733,Clarkstown-G19P-Miller
8586,4161,G13A,06/14/2009,02:00 PM,NY-CLARK-KennedyPk1,620,Arsenal-G13A-Cudequest,729,Clarkstown-G13A-Rolston
10746,2331,B12P,06/14/2009,10:00 AM,NY-CLARK-KennedyPk2,299,Mahwah-B12P-Sileo,717,Clarkstown-B12P-OBrien
10802,2387,B13A,06/14/2009,12:00 PM,NY-CLARK-KennedyPk2,538,Montclair-B13A-RodriguezVars,745,Clarkstown-B13A-Charles
8758,4333,G13DW,06/14/2009,02:00 PM,NY-CLARK-KennedyPk2,505,Monroe-Wood-G13DW-Chan,730,Clarkstown-G13DW-Fitzgerald
9630,3232,G09A,06/14/2009,02:00 PM,NY-CLARK-OutdoorEdu,674,Americans-G09A-Pennington,720,Clarkstown-G09A-Istorico
